time,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,湖北(包括武汉),武汉,湖北(非武汉)
2020.1.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0
2020.1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020,1.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2020.1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0
2020.1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,0
2020.1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,77,0
2020.1.20,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,72,60,12
2020.1.21,5,2,0,0,0,0,0,0,7,0,5,0,0,2,1,1,1,12,0,0,5,2,0,1,0,0,0,0,0,0,105,105,0
2020.1.22,4,2,1,1,0,2,1,0,7,1,5,1,1,1,5,4,8,6,2,4,4,3,3,0,0,3,0,0,1,0,69,62,7
2020.1.23,12,1,1,0,1,2,2,4,4,8,33,14,4,4,3,4,15,21,11,4,18,10,0,1,0,2,2,0,1,2,105,70,35
2020.1.24,10,3,6,5,1,8,1,5,13,9,19,24,5,11,12,23,19,25,10,2,30,13,1,3,0,10,2,0,1,1,180,77,103
2020.1.25,15,2,5,3,5,5,0,6,7,13,42,21,19,18,18,51,26,20,10,12,18,16,1,6,0,7,3,1,1,1,323,46,277
2020.1.26,17,4,5,4,4,5,2,6,13,16,24,10,27,12,24,45,31,48,13,9,35,25,2,8,0,13,7,3,3,1,371,80,291
2020.1.27,12,9,15,7,2,5,2,9,13,23,45,36,17,24,24,40,43,42,5,7,22,21,2,7,0,11,5,2,4,5,1291,892,399
2020.1.28,11,1,15,7,2,9,1,7,14,29,123,46,9,37,34,38,78,53,7,5,15,18,0,25,0,10,5,0,1,3,840,315,525
2020.1.29,20,3,17,8,3,5,5,6,21,30,132,48,19,53,24,72,56,70,20,3,18,34,3,19,1,7,2,0,5,1,1032,356,676
2020.1.30,21,3,17,4,2,4,0,16,27,39,109,37,19,77,33,74,55,82,9,3,41,35,3,10,0,23,3,2,4,3,1220,378,842
2020.1.31,24,2,14,8,3,15,3,21,25,34,62,60,24,47,24,70,57,127,13,8,32,30,14,11,0,15,6,1,5,1,1347,576,771
2020.2.1,27,9,8,9,4,4,6,15,24,34,62,43,15,46,23,71,74,84,11,6,24,24,9,8,0,15,5,0,2,3,1921,894,1027
2020.2.2,29,7,9,10,7,6,8,23,16,35,63,68,20,59,21,73,58,79,16,7,38,23,8,10,0,12,11,4,3,3,2103,1033,1070
2020.2.3,16,12,13,8,1,4,11,37,15,37,105,72,15,85,24,109,72,114,12,8,37,28,10,8,0,14,4,2,3,5,2345,1242,1103
2020.2.4,25,7,9,7,7,7,12,35,25,33,66,50,11,72,28,89,68,73,11,11,29,19,8,5,0,23,2,2,0,3,3156,1967,1189
2020.2.5,21,2,22,9,4,8,5,37,21,32,59,61,10,52,45,87,50,74,18,11,23,20,7,6,0,8,5,1,6,4,2987,1766,1221
2020.2.6,23,10,14,6,4,5,6,36,15,35,52,74,9,61,36,63,61,74,4,11,22,23,6,7,0,11,5,0,3,3,2447,1501,946
2020.2.7,18,2,24,7,2,5,4,18,12,31,42,68,15,37,28,66,31,57,11,11,15,19,12,3,0,11,4,0,1,3,2841,1985,856
2020.2.8,11,7,11,12,2,6,9,26,11,29,15,46,11,42,28,53,35,45,12,6,20,23,7,2,0,13,8,0,1,3,2060,1379,681
2020.2.9,11,3,12,4,4,1,2,24,3,24,41,51,11,32,24,40,41,31,15,8,22,19,13,1,0,5,4,0,4,4,2618,1921,697
2020.2.10,5,9,21,3,0,0,1,29,7,23,25,30,6,32,27,32,33,26,5,6,18,12,9,8,0,6,3,0,4,6,2097,1552,545
2020.2.11,10,6,12,2,2,8,2,18,4,28,14,29,5,40,11,30,34,42,7,3,19,19,13,5,0,6,0,0,5,4,1638,1104,534
2020.2.12,14,6,14,2,1,2,1,17,7,27,14,21,7,28,9,34,22,22,0,12,13,15,4,1,0,4,1,0,6,4,13797,13436,361
2020.2.13,6,7,18,0,4,1,2,23,5,23,10,24,2,28,13,15,20,20,4,0,11,12,5,7,0,1,3,0,3,2,4823,3910,913
2020.2.14,3,1,8,1,3,2,2,7,8,11,7,16,4,13,11,28,13,33,9,5,8,7,3,6,0,2,0,0,3,5,2420,1923,497
2020.2.15,5,2,9,1,2,1,1,20,2,13,5,12,2,12,7,19,3,22,2,0,7,11,1,1,0,4,0,0,0,1,1843,1548,295
2020.2.16,1,2,1,1,2,1,0,12,3,9,4,11,3,5,4,15,2,6,1,0,7,14,2,2,0,4,0,0,0,4,1933,1690,243
2020.2.17,6,1,1,1,1,0,0,7,2,3,1,9,2,3,2,11,1,6,4,1,2,13,0,1,0,0,1,0,0,1,1807,1600,207
2020.2.18,6,3,4,1,2,0,1,6,0,2,1,4,1,1,1,5,1,3,2,0,2,6,0,1,0,2,0,0,1,0,1693,1660,33
2020.2.19,2,2,1,0,0,0,1,6,0,0,2,1,0,1,2,4,2,1,1,5,5,6,0,0,0,3,0,0,0,0,775,615,160
2020.2.20,1,1,1,1,0,0,0,3,1,0,28,1,0,0,202,2,1,1,1,0,7,5,0,2,0,0,0,0,0,0,631,319,312
2020.2.21,3,2,1,0,0,0,0,0,0,0,2,1,0,0,2,3,2,6,3,0,5,1,0,0,0,0,0,0,0,0,366,314,52
2020.2.22,0,2,2,0,0,0,0,1,1,0,0,0,0,0,4,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,630,541,89
2020.2.23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,2,0,2,1,0,0,0,0,0,0,0,0,398,348,50
2020.2.24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,499,464,35
2020.2.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,401,370,31
2020.2.26,10,0,5,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,409,383,26
2020.2.27,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,318,313,5
2020.2.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,423,420,3
2020.2.29,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,565,5
