,湖北省,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖南省,吉林省,江苏省,江西省,辽宁省,内蒙古自治区,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
1月10日,61.81%,2.52%,1.63%,0.98%,0.52%,2.83%,1.17%,1.02%,0.46%,1.25%,5.23%,0.31%,3.90%,0.19%,2.21%,2.22%,0.43%,0.31%,0.17%,0.13%,1.56%,0.83%,0.84%,1.18%,1.48%,0.29%,0.04%,0.36%,0.74%,1.62%,1.48%
1月11日,67.43%,2.26%,1.16%,0.87%,0.40%,2.22%,0.98%,0.76%,0.36%,0.99%,4.92%,0.29%,3.59%,0.16%,1.78%,2.15%,0.36%,0.23%,0.14%,0.07%,1.12%,0.67%,0.77%,0.97%,1.28%,0.22%,0.02%,0.32%,0.65%,1.38%,1.20%
1月12日,66.38%,2.12%,1.21%,0.93%,0.49%,2.27%,1.20%,0.87%,0.46%,1.04%,4.93%,0.36%,3.45%,0.20%,1.68%,1.98%,0.37%,0.30%,0.16%,0.13%,1.32%,0.77%,0.79%,0.85%,1.54%,0.22%,0.05%,0.37%,0.69%,1.28%,1.34%
1月13日,63.90%,2.32%,1.44%,1.02%,0.52%,2.45%,1.20%,0.98%,0.40%,1.13%,5.34%,0.34%,3.77%,0.23%,1.78%,2.25%,0.42%,0.28%,0.15%,0.10%,1.30%,0.80%,0.84%,1.12%,1.51%,0.22%,0.04%,0.38%,0.80%,1.37%,1.33%
1月14日,64.80%,2.41%,1.42%,1.01%,0.48%,2.18%,1.01%,0.80%,0.39%,1.01%,5.77%,0.33%,3.82%,0.22%,1.75%,2.24%,0.41%,0.22%,0.11%,0.10%,1.26%,0.69%,0.82%,1.04%,1.52%,0.17%,0.03%,0.38%,0.65%,1.25%,1.43%
1月15日,66.20%,2.53%,1.30%,1.00%,0.41%,1.93%,0.86%,0.59%,0.38%,1.16%,6.03%,0.33%,3.57%,0.19%,1.67%,2.27%,0.36%,0.18%,0.08%,0.07%,1.20%,0.65%,0.75%,0.91%,1.41%,0.22%,0.02%,0.25%,0.55%,1.14%,1.54%
1月16日,65.75%,2.43%,1.28%,1.07%,0.35%,1.95%,0.81%,0.59%,0.42%,1.07%,6.46%,0.34%,3.63%,0.18%,1.65%,2.40%,0.42%,0.21%,0.09%,0.06%,1.24%,0.51%,0.80%,0.92%,1.44%,0.20%,0.02%,0.24%,0.58%,1.19%,1.45%
1月17日,66.96%,2.52%,1.07%,1.04%,0.33%,1.85%,0.78%,0.51%,0.38%,1.12%,6.37%,0.33%,3.59%,0.22%,1.70%,2.40%,0.39%,0.18%,0.05%,0.04%,1.25%,0.57%,0.72%,0.80%,1.28%,0.15%,0.01%,0.15%,0.54%,1.16%,1.32%
1月18日,69.96%,2.41%,0.73%,0.92%,0.28%,1.62%,0.60%,0.45%,0.32%,0.97%,5.60%,0.28%,3.75%,0.17%,1.55%,2.24%,0.34%,0.12%,0.07%,0.04%,1.13%,0.53%,0.70%,0.60%,1.18%,0.14%,0.01%,0.19%,0.45%,1.14%,1.27%
1月19日,69.50%,2.27%,0.68%,1.01%,0.31%,1.77%,0.76%,0.47%,0.39%,1.00%,5.86%,0.32%,3.43%,0.19%,1.39%,2.23%,0.38%,0.14%,0.08%,0.03%,1.13%,0.57%,0.83%,0.56%,1.34%,0.14%,0.01%,0.12%,0.49%,1.04%,1.29%
1月20日,70.67%,2.27%,0.56%,0.90%,0.29%,1.66%,0.72%,0.45%,0.37%,0.94%,6.22%,0.27%,3.36%,0.16%,1.26%,2.09%,0.34%,0.14%,0.06%,0.03%,1.03%,0.55%,0.73%,0.46%,1.21%,0.11%,0.01%,0.13%,0.49%,0.99%,1.27%
1月21日,71.84%,2.27%,0.47%,0.84%,0.28%,1.69%,0.62%,0.38%,0.36%,0.82%,6.18%,0.23%,3.40%,0.15%,1.16%,2.04%,0.29%,0.14%,0.05%,0.02%,1.00%,0.52%,0.71%,0.33%,1.13%,0.09%,0.00%,0.11%,0.46%,0.89%,1.25%
1月22日,74.77%,2.10%,0.39%,0.74%,0.27%,1.56%,0.55%,0.30%,0.33%,0.71%,5.67%,0.20%,3.24%,0.12%,1.03%,1.95%,0.21%,0.12%,0.04%,0.03%,0.85%,0.48%,0.57%,0.28%,0.97%,0.07%,0.00%,0.09%,0.39%,0.71%,1.04%
1月23日,76.57%,1.92%,0.36%,0.72%,0.22%,1.55%,0.52%,0.29%,0.32%,0.56%,5.32%,0.18%,3.07%,0.11%,0.95%,1.84%,0.17%,0.09%,0.02%,0.02%,0.69%,0.47%,0.54%,0.31%,0.83%,0.06%,0.01%,0.09%,0.33%,0.66%,1.00%
1月24日,72.46%,1.97%,0.39%,0.87%,0.33%,2.90%,0.66%,0.37%,0.50%,0.59%,4.98%,0.24%,3.12%,0.18%,1.26%,1.73%,0.19%,0.15%,0.05%,0.04%,0.92%,0.53%,0.73%,0.53%,1.20%,0.09%,0.00%,0.13%,0.43%,0.90%,1.29%
1月25日,74.56%,1.81%,0.42%,0.68%,0.29%,3.12%,0.71%,0.40%,0.68%,0.53%,4.33%,0.26%,2.36%,0.16%,1.31%,1.36%,0.23%,0.17%,0.06%,0.05%,0.85%,0.39%,0.65%,0.49%,1.17%,0.08%,0.01%,0.13%,0.54%,0.94%,0.92%
1月26日,76.27%,1.47%,0.42%,0.60%,0.23%,3.76%,0.42%,0.29%,0.50%,0.42%,4.10%,0.13%,2.38%,0.16%,1.24%,1.37%,0.23%,0.16%,0.03%,0.06%,0.63%,0.40%,0.48%,0.51%,0.85%,0.05%,0.00%,0.09%,0.53%,1.24%,0.64%
1月27日,82.46%,1.46%,0.27%,0.45%,0.18%,2.68%,0.38%,0.24%,0.30%,0.30%,2.76%,0.13%,1.97%,0.09%,1.00%,1.06%,0.17%,0.14%,0.04%,0.02%,0.47%,0.23%,0.34%,0.54%,0.57%,0.06%,0.00%,0.09%,0.30%,0.57%,0.54%
1月28日,87.48%,0.86%,0.21%,0.23%,0.14%,1.64%,0.15%,0.10%,0.22%,0.24%,2.19%,0.12%,1.69%,0.07%,0.57%,0.85%,0.15%,0.11%,0.02%,0.01%,0.33%,0.10%,0.31%,0.49%,0.41%,0.07%,0.01%,0.05%,0.20%,0.45%,0.39%
1月29日,91.08%,0.61%,0.13%,0.12%,0.03%,1.27%,0.04%,0.06%,0.06%,0.14%,1.72%,0.03%,1.25%,0.04%,0.70%,0.68%,0.08%,0.03%,0.01%,0.01%,0.27%,0.14%,0.13%,0.19%,0.19%,0.01%,0.00%,0.04%,0.16%,0.30%,0.32%
1月30日,92.07%,0.51%,0.07%,0.14%,0.03%,0.83%,0.03%,0.10%,0.02%,0.18%,1.23%,0.03%,1.40%,0.02%,0.74%,0.70%,0.09%,0.10%,0.01%,0.01%,0.18%,0.03%,0.22%,0.09%,0.25%,0.05%,0.03%,0.01%,0.07%,0.33%,0.23%
1月31日,91.72%,0.68%,0.20%,0.12%,0.02%,1.05%,0.08%,0.05%,0.00%,0.16%,1.35%,0.04%,1.39%,0.10%,0.60%,0.65%,0.02%,0.08%,0.02%,0.00%,0.17%,0.06%,0.15%,0.15%,0.27%,0.08%,0.00%,0.02%,0.05%,0.34%,0.28%
2月1日,92.92%,0.78%,0.17%,0.09%,0.06%,0.67%,0.06%,0.06%,0.04%,0.22%,1.15%,0.05%,1.23%,0.04%,0.46%,0.44%,0.01%,0.06%,0.01%,0.01%,0.31%,0.06%,0.15%,0.20%,0.19%,0.02%,0.00%,0.01%,0.05%,0.15%,0.17%
2月2日,94.23%,0.42%,0.11%,0.10%,0.07%,0.51%,0.07%,0.07%,0.03%,0.11%,1.23%,0.04%,0.75%,0.04%,0.31%,0.40%,0.08%,0.05%,0.00%,0.02%,0.20%,0.13%,0.18%,0.11%,0.09%,0.03%,0.00%,0.03%,0.07%,0.14%,0.23%
2月3日,90.69%,0.99%,0.13%,0.16%,0.15%,1.05%,0.16%,0.06%,0.00%,0.25%,1.37%,0.12%,1.32%,0.06%,0.65%,0.71%,0.04%,0.07%,0.04%,0.00%,0.19%,0.19%,0.32%,0.07%,0.32%,0.03%,0.00%,0.04%,0.10%,0.36%,0.21%
2月4日,91.19%,0.62%,0.15%,0.12%,0.06%,0.87%,0.05%,0.09%,0.02%,0.23%,1.54%,0.01%,1.23%,0.08%,0.47%,0.63%,0.09%,0.18%,0.00%,0.01%,0.40%,0.09%,0.11%,0.12%,0.27%,0.08%,0.00%,0.06%,0.09%,0.26%,0.23%
2月5日,93.39%,0.58%,0.24%,0.12%,0.11%,0.76%,0.11%,0.11%,0.03%,0.14%,1.02%,0.07%,0.93%,0.05%,0.29%,0.50%,0.09%,0.04%,0.00%,0.00%,0.18%,0.09%,0.15%,0.11%,0.10%,0.03%,0.00%,0.02%,0.07%,0.22%,0.20%
2月6日,93.62%,0.51%,0.14%,0.10%,0.01%,0.47%,0.09%,0.07%,0.01%,0.17%,1.15%,0.05%,0.95%,0.07%,0.38%,0.42%,0.08%,0.04%,0.02%,0.00%,0.33%,0.05%,0.12%,0.22%,0.09%,0.04%,0.00%,0.07%,0.04%,0.29%,0.26%
2月7日,92.99%,0.59%,0.08%,0.13%,0.03%,0.63%,0.14%,0.05%,0.03%,0.22%,1.31%,0.04%,1.40%,0.08%,0.33%,0.34%,0.07%,0.08%,0.03%,0.01%,0.26%,0.04%,0.14%,0.14%,0.19%,0.03%,0.01%,0.04%,0.04%,0.21%,0.19%
2月8日,93.31%,0.51%,0.14%,0.06%,0.04%,0.63%,0.06%,0.10%,0.02%,0.18%,1.20%,0.03%,1.44%,0.01%,0.60%,0.45%,0.04%,0.01%,0.00%,0.01%,0.21%,0.02%,0.06%,0.06%,0.12%,0.05%,0.00%,0.02%,0.05%,0.19%,0.20%
2月9日,93.35%,0.39%,0.21%,0.09%,0.03%,0.81%,0.09%,0.11%,0.02%,0.16%,1.33%,0.06%,1.23%,0.03%,0.34%,0.41%,0.10%,0.04%,0.00%,0.01%,0.18%,0.03%,0.15%,0.12%,0.14%,0.03%,0.00%,0.01%,0.03%,0.11%,0.24%
2月10日,92.39%,0.60%,0.14%,0.14%,0.05%,0.80%,0.11%,0.03%,0.03%,0.14%,1.42%,0.08%,1.54%,0.07%,0.42%,0.36%,0.09%,0.05%,0.00%,0.00%,0.20%,0.17%,0.21%,0.15%,0.23%,0.07%,0.00%,0.05%,0.04%,0.10%,0.20%
2月11日,92.95%,0.55%,0.25%,0.06%,0.04%,0.62%,0.09%,0.06%,0.02%,0.09%,1.52%,0.00%,1.59%,0.02%,0.45%,0.42%,0.09%,0.10%,0.00%,0.01%,0.21%,0.04%,0.09%,0.09%,0.13%,0.04%,0.00%,0.03%,0.02%,0.06%,0.24%
2月12日,92.48%,0.53%,0.18%,0.12%,0.06%,0.62%,0.14%,0.09%,0.01%,0.15%,1.07%,0.05%,2.03%,0.01%,0.45%,0.52%,0.07%,0.02%,0.01%,0.00%,0.18%,0.07%,0.14%,0.15%,0.12%,0.04%,0.00%,0.04%,0.04%,0.19%,0.26%
2月13日,89.62%,0.79%,0.11%,0.07%,0.03%,0.51%,0.11%,0.09%,0.02%,0.12%,1.94%,0.04%,1.84%,0.03%,0.38%,0.30%,0.14%,0.06%,0.02%,0.00%,0.38%,2.18%,0.13%,0.19%,0.27%,0.06%,0.01%,0.00%,0.03%,0.11%,0.28%
2月14日,86.55%,0.84%,0.45%,0.13%,0.03%,0.76%,0.03%,0.04%,0.01%,0.30%,1.95%,0.04%,1.66%,0.04%,0.44%,0.36%,0.13%,0.06%,0.01%,0.00%,0.44%,4.35%,0.19%,0.08%,0.36%,0.02%,0.01%,0.01%,0.05%,0.16%,0.39%
2月15日,90.94%,0.68%,0.44%,0.18%,0.06%,0.83%,0.17%,0.06%,0.02%,0.24%,1.72%,0.07%,1.82%,0.05%,0.30%,0.52%,0.07%,0.05%,0.07%,0.00%,0.28%,0.05%,0.15%,0.17%,0.30%,0.06%,0.00%,0.02%,0.08%,0.15%,0.28%
2月16日,91.09%,0.58%,0.30%,0.13%,0.04%,0.76%,0.15%,0.40%,0.02%,0.19%,2.16%,0.03%,1.17%,0.01%,0.22%,0.50%,0.05%,0.05%,0.00%,0.01%,0.20%,0.17%,0.44%,0.16%,0.26%,0.23%,0.00%,0.03%,0.03%,0.23%,0.25%
2月17日,90.98%,0.75%,0.25%,0.10%,0.06%,0.87%,0.06%,0.17%,0.02%,0.25%,1.26%,0.05%,1.22%,0.02%,0.40%,0.58%,0.13%,0.02%,0.01%,0.00%,0.17%,1.21%,0.19%,0.10%,0.27%,0.13%,0.01%,0.04%,0.06%,0.12%,0.34%
2月18日,91.45%,0.79%,0.17%,0.12%,0.01%,0.97%,0.25%,0.06%,0.05%,0.21%,1.34%,0.01%,1.68%,0.03%,0.59%,0.47%,0.13%,0.02%,0.03%,0.00%,0.37%,0.05%,0.08%,0.23%,0.17%,0.11%,0.00%,0.05%,0.00%,0.23%,0.20%
2月19日,92.32%,0.47%,0.11%,0.12%,0.02%,0.78%,0.08%,0.07%,0.05%,0.17%,1.39%,0.05%,1.48%,0.05%,0.57%,0.47%,0.05%,0.05%,0.01%,0.00%,0.33%,0.07%,0.19%,0.17%,0.15%,0.01%,0.00%,0.01%,0.07%,0.29%,0.26%
2月20日,92.26%,0.49%,0.14%,0.19%,0.07%,0.78%,0.21%,0.14%,0.02%,0.14%,1.44%,0.08%,1.17%,0.02%,0.44%,0.61%,0.13%,0.06%,0.01%,0.01%,0.33%,0.02%,0.12%,0.19%,0.11%,0.03%,0.00%,0.01%,0.08%,0.32%,0.21%
2月21日,91.97%,0.65%,0.18%,0.15%,0.02%,0.81%,0.12%,0.03%,0.01%,0.22%,1.62%,0.02%,1.21%,0.01%,0.31%,0.55%,0.15%,0.07%,0.00%,0.01%,0.25%,0.01%,0.26%,0.28%,0.20%,0.10%,0.00%,0.02%,0.07%,0.38%,0.21%
2月22日,90.70%,0.86%,0.23%,0.19%,0.05%,0.79%,0.16%,0.10%,0.03%,0.16%,1.72%,0.02%,1.73%,0.06%,0.50%,0.56%,0.10%,0.07%,0.00%,0.00%,0.38%,0.05%,0.11%,0.23%,0.14%,0.08%,0.01%,0.05%,0.07%,0.37%,0.35%
2月23日,89.96%,0.83%,0.07%,0.15%,0.03%,1.19%,0.17%,0.10%,0.01%,0.25%,1.53%,0.06%,1.69%,0.03%,0.57%,0.87%,0.08%,0.01%,0.07%,0.01%,0.39%,0.10%,0.19%,0.37%,0.34%,0.12%,0.00%,0.01%,0.12%,0.21%,0.30%
2月24日,89.26%,0.65%,0.28%,0.20%,0.01%,1.46%,0.23%,0.11%,0.02%,0.21%,1.57%,0.07%,2.22%,0.01%,0.85%,0.73%,0.15%,0.11%,0.01%,0.01%,0.23%,0.06%,0.17%,0.20%,0.21%,0.07%,0.00%,0.02%,0.13%,0.27%,0.32%
2月25日,89.32%,0.86%,0.16%,0.13%,0.06%,1.51%,0.22%,0.12%,0.03%,0.18%,1.85%,0.02%,1.90%,0.02%,0.82%,0.62%,0.17%,0.12%,0.02%,0.00%,0.35%,0.07%,0.20%,0.18%,0.17%,0.07%,0.01%,0.03%,0.04%,0.39%,0.22%
2月26日,90.04%,0.87%,0.24%,0.24%,0.03%,1.10%,0.22%,0.18%,0.02%,0.26%,1.53%,0.02%,1.61%,0.01%,0.80%,0.67%,0.18%,0.03%,0.00%,0.02%,0.14%,0.07%,0.31%,0.21%,0.21%,0.09%,0.00%,0.02%,0.07%,0.41%,0.26%
2月27日,90.59%,0.92%,0.19%,0.23%,0.06%,0.96%,0.15%,0.09%,0.00%,0.14%,1.48%,0.07%,1.54%,0.07%,0.58%,0.77%,0.15%,0.09%,0.00%,0.01%,0.39%,0.14%,0.18%,0.18%,0.19%,0.06%,0.00%,0.02%,0.02%,0.31%,0.22%
2月28日,91.12%,0.71%,0.17%,0.21%,0.03%,0.88%,0.22%,0.07%,0.03%,0.17%,1.56%,0.02%,1.68%,0.05%,0.50%,0.81%,0.08%,0.02%,0.03%,0.00%,0.22%,0.13%,0.20%,0.16%,0.15%,0.01%,0.00%,0.03%,0.10%,0.20%,0.28%
2月29日,90.72%,1.07%,0.13%,0.13%,0.07%,0.91%,0.12%,0.09%,0.07%,0.25%,1.57%,0.03%,1.67%,0.09%,0.51%,0.69%,0.20%,0.09%,0.02%,0.00%,0.14%,0.06%,0.13%,0.25%,0.13%,0.09%,0.02%,0.00%,0.09%,0.28%,0.22%
